ano,mes,saldo_empregos
2010,1,1998
2010,2,3405
2010,3,8439
2010,4,4311
2010,5,6213
2010,6,3873
2010,7,3380
2010,8,5365
2010,9,6507
2010,10,7942
2010,11,7795
2010,12,-2867
2011,1,1562
2011,2,9370
2011,3,5557
2011,4,6374
2011,5,2687
2011,6,-1110
2011,7,-508
2011,8,3689
2011,9,7075
2011,10,3233
2011,11,2407
2011,12,-135
2012,1,1656
2012,2,4165
2012,3,5138
2012,4,3736
2012,5,2231
2012,6,-2458
2012,7,-4778
2012,8,561
2012,9,-3
2012,10,-1434
2012,11,9216
2012,12,2037
2013,1,1588
2013,2,5144
2013,3,2986
2013,4,5699
2013,5,-112
2013,6,841
2013,7,140
2013,8,1046
2013,9,2934
2013,10,1125
2013,11,7096
2013,12,-446
2014,1,2759
2014,2,8221
2014,3,3623
2014,4,3752
2014,5,912
2014,6,943
2014,7,3422
2014,8,1391
2014,9,-636
2014,10,-366
2014,11,9412
2014,12,5858
2015,1,5472
2015,2,9664
2015,3,9865
2015,4,2742
2015,5,-6744
2015,6,-9054
2015,7,-8082
2015,8,-2137
2015,9,-1859
2015,10,-3454
2015,11,6658
2015,12,-1800
2016,1,-785
2016,2,-4967
2016,3,1224
2016,4,-2322
2016,5,-2098
2016,6,-2630
2016,7,-2906
2016,8,423
2016,9,-1590
2016,10,1485
2016,11,6852
2016,12,3376
2017,1,2788
2017,2,-404
2017,3,-1803
2017,4,-66
2017,5,-751
2017,6,1144
2017,7,-517
2017,8,-2491
2017,9,-3502
2017,10,-804
2017,11,5478
2017,12,168
2018,1,2234
2018,2,274
2018,3,2868
2018,4,844
2018,5,2536
2018,6,-98
2018,7,343
2018,8,-2685
2018,9,-194
2018,10,200
2018,11,3922
2018,12,2201
2019,1,1239
2019,2,322
2019,3,1002
2019,4,-1752
2019,5,-1954
2019,6,176
2019,7,-2430
2019,8,-1572
2019,9,1825
2019,10,1425
2019,11,4249
2019,12,733
2020,1,-2144
2020,2,-980
2020,3,-8530
2020,4,-14504
2020,5,4882
2020,6,10299
2020,7,4189
2020,8,3775
2020,9,5530
2020,10,10574
2020,11,14181
2020,12,5966
2021,1,6607
2021,2,6981
2021,3,519
2021,4,4008
2021,5,2581
2021,6,2432
2021,7,3804
2021,8,3298
2021,9,823
2021,10,6124
2021,11,7538
2021,12,-836
2022,1,-499
2022,2,-212
2022,3,-3442
2022,4,-4032
2022,5,-1299
2022,6,873
2022,7,-5782
2022,8,-6754
2022,9,-3246
2022,10,330
2022,11,-40
2022,12,-4901
2023,1,-3493
2023,2,-4289
2023,3,-127
2023,4,-518
2023,5,-1744
2023,6,258
2023,7,-2501
2023,8,-1825
2023,9,745
2023,10,5390
2023,11,7179
2023,12,5
2024,1,1207
2024,2,2063
2024,3,-494
2024,4,-1436
2024,5,-143
2024,6,621
2024,7,-549
2024,8,140
2024,9,-608
2024,10,1900
2024,11,5309
2024,12,97
2025,1,1814
2025,2,2734
2025,3,1678
2025,4,-2059
2025,5,-2154
2025,6,255
2025,7,-344
