ano,mes,saldo_empregos,data,estoque_acumulado
2010,1,1998,2010-01-01,1998
2010,2,3405,2010-02-01,5403
2010,3,8439,2010-03-01,13842
2010,4,4311,2010-04-01,18153
2010,5,6213,2010-05-01,24366
2010,6,3873,2010-06-01,28239
2010,7,3380,2010-07-01,31619
2010,8,5365,2010-08-01,36984
2010,9,6507,2010-09-01,43491
2010,10,7942,2010-10-01,51433
2010,11,7795,2010-11-01,59228
2010,12,-2867,2010-12-01,56361
2011,1,1562,2011-01-01,57923
2011,2,9370,2011-02-01,67293
2011,3,5557,2011-03-01,72850
2011,4,6374,2011-04-01,79224
2011,5,2687,2011-05-01,81911
2011,6,-1110,2011-06-01,80801
2011,7,-508,2011-07-01,80293
2011,8,3689,2011-08-01,83982
2011,9,7075,2011-09-01,91057
2011,10,3233,2011-10-01,94290
2011,11,2407,2011-11-01,96697
2011,12,-135,2011-12-01,96562
2012,1,1656,2012-01-01,98218
2012,2,4165,2012-02-01,102383
2012,3,5138,2012-03-01,107521
2012,4,3736,2012-04-01,111257
2012,5,2231,2012-05-01,113488
2012,6,-2458,2012-06-01,111030
2012,7,-4778,2012-07-01,106252
2012,8,561,2012-08-01,106813
2012,9,-3,2012-09-01,106810
2012,10,-1434,2012-10-01,105376
2012,11,9216,2012-11-01,114592
2012,12,2037,2012-12-01,116629
2013,1,1588,2013-01-01,118217
2013,2,5144,2013-02-01,123361
2013,3,2986,2013-03-01,126347
2013,4,5699,2013-04-01,132046
2013,5,-112,2013-05-01,131934
2013,6,841,2013-06-01,132775
2013,7,140,2013-07-01,132915
2013,8,1046,2013-08-01,133961
2013,9,2934,2013-09-01,136895
2013,10,1125,2013-10-01,138020
2013,11,7096,2013-11-01,145116
2013,12,-446,2013-12-01,144670
2014,1,2759,2014-01-01,147429
2014,2,8221,2014-02-01,155650
2014,3,3623,2014-03-01,159273
2014,4,3752,2014-04-01,163025
2014,5,912,2014-05-01,163937
2014,6,943,2014-06-01,164880
2014,7,3422,2014-07-01,168302
2014,8,1391,2014-08-01,169693
2014,9,-636,2014-09-01,169057
2014,10,-366,2014-10-01,168691
2014,11,9412,2014-11-01,178103
2014,12,5858,2014-12-01,183961
2015,1,5472,2015-01-01,189433
2015,2,9664,2015-02-01,199097
2015,3,9865,2015-03-01,208962
2015,4,2742,2015-04-01,211704
2015,5,-6744,2015-05-01,204960
2015,6,-9054,2015-06-01,195906
2015,7,-8082,2015-07-01,187824
2015,8,-2137,2015-08-01,185687
2015,9,-1859,2015-09-01,183828
2015,10,-3454,2015-10-01,180374
2015,11,6658,2015-11-01,187032
2015,12,-1800,2015-12-01,185232
2016,1,-785,2016-01-01,184447
2016,2,-4967,2016-02-01,179480
2016,3,1224,2016-03-01,180704
2016,4,-2322,2016-04-01,178382
2016,5,-2098,2016-05-01,176284
2016,6,-2630,2016-06-01,173654
2016,7,-2906,2016-07-01,170748
2016,8,423,2016-08-01,171171
2016,9,-1590,2016-09-01,169581
2016,10,1485,2016-10-01,171066
2016,11,6852,2016-11-01,177918
2016,12,3376,2016-12-01,181294
2017,1,2788,2017-01-01,184082
2017,2,-404,2017-02-01,183678
2017,3,-1803,2017-03-01,181875
2017,4,-66,2017-04-01,181809
2017,5,-751,2017-05-01,181058
2017,6,1144,2017-06-01,182202
2017,7,-517,2017-07-01,181685
2017,8,-2491,2017-08-01,179194
2017,9,-3502,2017-09-01,175692
2017,10,-804,2017-10-01,174888
2017,11,5478,2017-11-01,180366
2017,12,168,2017-12-01,180534
2018,1,2234,2018-01-01,182768
2018,2,274,2018-02-01,183042
2018,3,2868,2018-03-01,185910
2018,4,844,2018-04-01,186754
2018,5,2536,2018-05-01,189290
2018,6,-98,2018-06-01,189192
2018,7,343,2018-07-01,189535
2018,8,-2685,2018-08-01,186850
2018,9,-194,2018-09-01,186656
2018,10,200,2018-10-01,186856
2018,11,3922,2018-11-01,190778
2018,12,2201,2018-12-01,192979
2019,1,1239,2019-01-01,194218
2019,2,322,2019-02-01,194540
2019,3,1002,2019-03-01,195542
2019,4,-1752,2019-04-01,193790
2019,5,-1954,2019-05-01,191836
2019,6,176,2019-06-01,192012
2019,7,-2430,2019-07-01,189582
2019,8,-1572,2019-08-01,188010
2019,9,1825,2019-09-01,189835
2019,10,1425,2019-10-01,191260
2019,11,4249,2019-11-01,195509
2019,12,733,2019-12-01,196242
2020,1,-2144,2020-01-01,194098
2020,2,-980,2020-02-01,193118
2020,3,-8530,2020-03-01,184588
2020,4,-14504,2020-04-01,170084
2020,5,4882,2020-05-01,174966
2020,6,10299,2020-06-01,185265
2020,7,4189,2020-07-01,189454
2020,8,3775,2020-08-01,193229
2020,9,5530,2020-09-01,198759
2020,10,10574,2020-10-01,209333
2020,11,14181,2020-11-01,223514
2020,12,5966,2020-12-01,229480
2021,1,6607,2021-01-01,236087
2021,2,6981,2021-02-01,243068
2021,3,519,2021-03-01,243587
2021,4,4008,2021-04-01,247595
2021,5,2581,2021-05-01,250176
2021,6,2432,2021-06-01,252608
2021,7,3804,2021-07-01,256412
2021,8,3298,2021-08-01,259710
2021,9,823,2021-09-01,260533
2021,10,6124,2021-10-01,266657
2021,11,7538,2021-11-01,274195
2021,12,-836,2021-12-01,273359
2022,1,-499,2022-01-01,272860
2022,2,-212,2022-02-01,272648
2022,3,-3442,2022-03-01,269206
2022,4,-4032,2022-04-01,265174
2022,5,-1299,2022-05-01,263875
2022,6,873,2022-06-01,264748
2022,7,-5782,2022-07-01,258966
2022,8,-6754,2022-08-01,252212
2022,9,-3246,2022-09-01,248966
2022,10,330,2022-10-01,249296
2022,11,-40,2022-11-01,249256
2022,12,-4901,2022-12-01,244355
2023,1,-3493,2023-01-01,240862
2023,2,-4289,2023-02-01,236573
2023,3,-127,2023-03-01,236446
2023,4,-518,2023-04-01,235928
2023,5,-1744,2023-05-01,234184
2023,6,258,2023-06-01,234442
2023,7,-2501,2023-07-01,231941
2023,8,-1825,2023-08-01,230116
2023,9,745,2023-09-01,230861
2023,10,5390,2023-10-01,236251
2023,11,7179,2023-11-01,243430
2023,12,5,2023-12-01,243435
2024,1,1207,2024-01-01,244642
2024,2,2063,2024-02-01,246705
2024,3,-494,2024-03-01,246211
2024,4,-1436,2024-04-01,244775
2024,5,-143,2024-05-01,244632
2024,6,621,2024-06-01,245253
2024,7,-549,2024-07-01,244704
2024,8,140,2024-08-01,244844
2024,9,-608,2024-09-01,244236
2024,10,1900,2024-10-01,246136
2024,11,5309,2024-11-01,251445
2024,12,97,2024-12-01,251542
2025,1,1814,2025-01-01,253356
2025,2,2734,2025-02-01,256090
2025,3,1678,2025-03-01,257768
2025,4,-2059,2025-04-01,255709
2025,5,-2154,2025-05-01,253555
2025,6,255,2025-06-01,253810
2025,7,-344,2025-07-01,253466
