data,Qtd. Veículos
2021-01-01,55631
2021-02-01,56988
2021-03-01,59782
2021-04-01,62343
2021-05-01,65414
2021-06-01,69748
2021-07-01,73268
2021-08-01,77629
2021-09-01,80852
2021-10-01,83992
2021-11-01,90956
2021-12-01,97920
2022-01-01,97920
2022-02-01,102516
2022-03-01,108560
2022-04-01,112552
2022-05-01,117731
2022-06-01,122448
2022-07-01,126944
2022-08-01,134070
2022-09-01,143362
2022-10-01,149273
2022-11-01,155847
2022-12-01,163181
2023-01-01,170053
2023-02-01,176572
2023-03-01,185745
2023-04-01,193593
2023-05-01,201900
2023-06-01,210280
2023-07-01,219457
2023-08-01,231893
2023-09-01,242171
2023-10-01,255017
2023-11-01,270204
2023-12-01,291089
2024-01-01,304546
2024-02-01,319224
2024-03-01,336542
2024-04-01,351879
2024-05-01,369301
2024-06-01,385218
2024-07-01,414736
2024-08-01,429538
2024-09-01,447401
2024-10-01,463514
2024-11-01,486479
2024-12-01,515044
2025-01-01,528831
2025-02-01,544483
2025-03-01,570452
2025-04-01,587937
2025-05-01,607561
2025-06-01,632857
2025-07-01,663245
2025-08-01,692847
2025-09-01,722193
2025-10-01,762172
2025-11-01,795146
2025-12-01,836151
